Date;Period;T;U;WW
28.05.2014;Вечер;20;1.0;3.0
29.05.2014;Ночь;20;0.9;3.0
29.05.2014;Утро;20;0.9;3.0
29.05.2014;День;12;0.9;2.0
29.05.2014;Вечер;12;0.9;4.0
30.05.2014;Ночь;12;1.0;3.0
30.05.2014;Утро;12;0.9;2.0
30.05.2014;День;12;0.8;4.0
30.05.2014;Вечер;12;0.8;4.0
31.05.2014;Ночь;12;0.8;4.0
31.05.2014;Утро;14;0.6;4.0
31.05.2014;День;14;0.4;4.0
31.05.2014;Вечер;14;0.5;4.0
01.06.2014;Ночь;13;0.9;4.0
01.06.2014;Утро;14,5;0.7;4.0
01.06.2014;День;14,5;0.8;3.0
01.06.2014;Вечер;13;0.9;3.0
02.06.2014;Ночь;13;0.9;3.0
02.06.2014;Утро;13;0.9;3.0
02.06.2014;День;13;0.9;4.0
02.06.2014;Вечер;13;0.9;4.0
03.06.2014;Ночь;13;0.9;3.0
03.06.2014;Утро;13;0.9;4.0
03.06.2014;День;13;0.6;4.0
03.06.2014;Вечер;13;0.8;4.0
04.06.2014;Ночь;13;0.9;4.0
04.06.2014;Утро;13;0.5;4.0
04.06.2014;День;29;0.3;4.0
04.06.2014;Вечер;27;0.3;4.0
05.06.2014;Ночь;17,5;0.6;4.0
05.06.2014;Утро;17,5;0.3;4.0
05.06.2014;День;17,5;0.2;4.0
05.06.2014;Вечер;17,5;0.3;4.0
06.06.2014;Ночь;19;0.7;4.0
06.06.2014;Утро;19;0.4;4.0
06.06.2014;День;19;0.3;4.0
06.06.2014;Вечер;19;0.5;4.0
07.06.2014;Ночь;19;0.8;4.0
07.06.2014;Утро;19;0.6;4.0
07.06.2014;День;18;0.9;3.0
07.06.2014;Вечер;18;0.9;4.0
08.06.2014;Ночь;12;0.8;4.0
08.06.2014;Утро;16;0.8;4.0
08.06.2014;День;16;0.6;3.0
08.06.2014;Вечер;16;0.7;4.0
09.06.2014;Ночь;16;0.8;4.0
09.06.2014;Утро;16;0.7;4.0
09.06.2014;День;16;0.6;3.0
09.06.2014;Вечер;16;0.7;4.0
10.06.2014;Ночь;15;0.9;4.0
10.06.2014;Утро;15;0.8;4.0
10.06.2014;День;16;0.7;4.0
10.06.2014;Вечер;16;0.6;4.0
11.06.2014;Ночь;9;0.8;4.0
11.06.2014;Утро;9;0.6;4.0
11.06.2014;День;9;0.6;4.0
11.06.2014;Вечер;9;0.8;4.0
12.06.2014;Ночь;9;0.9;4.0
12.06.2014;Утро;9;0.6;4.0
12.06.2014;День;22;0.6;4.0
12.06.2014;Вечер;15;0.7;3.0
13.06.2014;Ночь;15;0.9;3.0
13.06.2014;Утро;15;0.7;3.0
13.06.2014;День;15;0.5;4.0
13.06.2014;Вечер;15;0.6;4.0
14.06.2014;Ночь;15;0.8;4.0
14.06.2014;Утро;15;0.6;4.0
14.06.2014;День;15;0.6;4.0
14.06.2014;Вечер;12;0.6;4.0
15.06.2014;Ночь;12;0.7;4.0
15.06.2014;Утро;10;0.5;4.0
15.06.2014;День;10;0.5;4.0
15.06.2014;Вечер;10;0.4;4.0
16.06.2014;Ночь;12;0.9;4.0
16.06.2014;Утро;14;0.7;3.0
16.06.2014;День;14;0.6;4.0
16.06.2014;Вечер;14;0.6;4.0
17.06.2014;Ночь;14;0.9;3.0
17.06.2014;Утро;14;0.6;4.0
17.06.2014;День;14;0.6;3.0
17.06.2014;Вечер;14;0.8;3.0
18.06.2014;Ночь;14;0.9;3.0
18.06.2014;Утро;11;0.7;4.0
18.06.2014;День;11;0.6;4.0
